Word,Score
wizes,8214.1
eards,8214.02
fangs,8212.25
vairs,8211.0
ramis,8210.73
routs,8210.15
reans,8210.02
lolls,8209.83
woons,8208.3
doabs,8207.75
damns,8206.47
nards,8205.64
geals,8205.62
sikas,8205.23
yipes,8204.96
teins,8204.54
almes,8204.52
lasts,8204.47
merls,8204.27
tians,8201.87
motis,8200.9
tinas,8199.29
beets,8198.06
calfs,8198.05
jibes,8197.34
beaks,8196.9
silks,8195.53
hoors,8195.09
dynes,8194.95
capos,8194.81
pirns,8194.5
caums,8194.32
zoris,8193.52
haafs,8193.4
tawts,8192.35
fuzes,8189.54
reals,8188.31
bafts,8187.72
bawns,8187.11
scyes,8186.92
wools,8186.59
naams,8186.37
mayas,8185.75
pavis,8184.19
lomas,8183.71
mooks,8183.51
dears,8183.28
teils,8182.83
nonis,8182.13
yexes,8182.07
sared,8181.32
monks,8181.09
liras,8180.56
janns,8180.54
dooks,8179.03
poeps,8176.9
kamas,8176.76
hauns,8176.36
celts,8176.23
belts,8174.75
bolus,8174.31
peons,8173.02
pirls,8172.79
pacos,8172.28
hanks,8172.16
heats,8171.58
noils,8171.25
buats,8171.19
ratos,8168.69
takis,8167.77
feals,8166.56
beads,8166.51
aeros,8166.38
bawls,8165.4
silds,8165.14
suids,8164.25
mouls,8163.58
nudes,8161.58
roids,8161.31
louts,8159.37
leans,8159.24
woads,8158.84
valis,8158.77
nifes,8158.0
dorbs,8155.96
hauls,8154.65
peaks,8153.95
moods,8153.12
goafs,8151.89
casks,8151.0
biros,8150.65
boobs,8150.43
luxes,8149.77
basks,8149.52
oonts,8148.83
poems,8148.11
birrs,8147.44
dopas,8147.42
betas,8146.6
berks,8145.11
narcs,8144.98
malus,8144.66
pawns,8144.16
sophs,8143.85
melas,8143.78
coofs,8142.01
hands,8141.77
selfs,8141.08
vives,8140.68
watts,8140.25
confs,8139.59
foids,8139.56
acnes,8139.53
malms,8138.1
airts,8137.74
works,8137.44
gears,8137.32
ferns,8136.48
segos,8136.1
boohs,8135.18
deros,8134.7
louis,8134.29
kaiks,8133.97
rotis,8133.15
mosts,8133.13
gooks,8133.07
bahts,8132.52
pelts,8131.8
favas,8131.75
gonks,8130.65
tirls,8128.37
tacos,8127.86
pawls,8122.45
rears,8120.01
rayas,8118.0
noons,8117.02
abies,8116.72
sunks,8116.28
rooks,8115.76
auras,8115.63
slits,8115.38
geits,8114.56
yikes,8112.44
jarks,8112.1
nixes,8112.08
mongs,8111.88
tiars,8111.86
moops,8110.85
pomos,8110.85
loids,8110.53
zezes,8110.31
teaks,8109.53
dongs,8107.4
words,8107.05
gadis,8106.92
dirts,8106.06
patus,8104.53
bouks,8104.42
kaids,8103.58
homas,8103.44
hangs,8102.95
noirs,8102.95
lavas,8102.72
goods,8102.68
perks,8102.16
beaus,8102.01
zexes,8099.57
jives,8098.57
fears,8098.26
bints,8098.11
yarks,8097.97
poofs,8097.58
bawrs,8097.1
rouls,8095.83
beams,8095.45
wanks,8095.36
poohs,8092.23
jaaps,8091.23
muras,8088.43
tolus,8086.94
erses,8086.92
sexts,8086.31
surfs,8085.73
facts,8085.62
roods,8085.37
peags,8084.74
hoers,8084.57
duras,8083.95
loafs,8083.8
naiks,8082.44
dents,8082.16
shris,8081.58
lynes,8080.9
teads,8079.14
houts,8079.1
wauls,8077.85
dooms,8077.58
koaps,8076.82
bunas,8076.0
bergs,8075.9
katis,8075.42
warbs,8074.71
fouls,8074.08
eyres,8072.88
fiats,8072.83
meins,8072.39
cytes,8072.32
forbs,8070.94
bytes,8070.84
topis,8070.42
lears,8069.23
joins,8069.03
doeks,8068.51
yards,8067.58
boree,8067.52
minas,8067.14
zoeas,8067.1
louns,8066.76
tomos,8066.43
shans,8065.84
rosts,8065.38
subas,8065.34
looks,8064.98
wands,8064.97
holos,8064.47
googs,8063.86
foods,8063.62
tiros,8063.28
peens,8062.5
tasks,8062.15
cells,8061.91
pouks,8061.47
gongs,8061.44
fonds,8061.2
gauss,8060.88
hoiks,8060.65
bells,8060.43
goops,8060.41
tatus,8060.11
girts,8060.1
tirrs,8060.07
varus,8059.32
sinhs,8059.09
camps,8058.9
mowas,8058.88
ragis,8058.65
heals,8057.26
denis,8057.08
sowfs,8056.18
casus,8056.11
dawts,8055.72
pints,8055.16
puris,8051.37
hakas,8050.45
wasts,8047.4
ajies,8047.01
deils,8046.2
norks,8046.16
sekos,8045.32
airns,8045.13
mauds,8044.38
yonis,8044.07
rotls,8043.91
berms,8043.66
dials,8043.53
roops,8043.1
peels,8040.79
dauds,8039.9
nukes,8039.84
jarps,8039.44
slots,8039.44
rabis,8038.64
camus,8036.67
koels,8036.32
gents,8036.2
worms,8035.99
makis,8035.62
bemas,8034.31
coups,8033.24
punas,8033.05
kaims,8032.52
perps,8029.5
taxis,8029.35
curns,8028.27
herns,8027.18
cocos,8026.84
burns,8026.79
kapas,8026.42
wangs,8026.15
natis,8023.89
sumis,8023.8
aeons,8023.65
molds,8019.29
vauts,8019.07
rents,8018.89
teens,8018.08
pells,8017.48
touks,8017.05
beers,8015.44
signs,8014.85
rooms,8014.31
percs,8011.11
tints,8010.74
lapis,8009.61
waurs,8009.55
cions,8009.4
jupes,8008.43
teams,8008.08
mavis,8007.62
curls,8006.56
fours,8005.78
herls,8005.47
burls,8005.08
reins,8004.64
nadas,8004.11
neats,8003.5
cacks,8003.12
korus,8002.8
towts,8002.48
weans,8002.17
backs,8001.64
perms,8000.71
sojus,7999.95
dados,7998.55
fents,7997.14
