Word,Score
chose,4500.24
peach,4500.15
comic,4498.94
girth,4497.35
favor,4496.88
flame,4495.37
scant,4495.31
phony,4494.01
macaw,4493.72
fiend,4490.39
shoot,4490.27
short,4487.06
grand,4487.03
robot,4486.99
showy,4486.55
prove,4486.26
gamma,4485.22
tepid,4484.98
guild,4483.54
lusty,4482.71
chafe,4482.51
snail,4481.6
began,4481.24
agate,4480.81
abate,4479.96
fella,4477.96
sloth,4476.69
inner,4475.9
there,4474.7
forum,4474.14
cough,4473.94
bough,4472.46
hobby,4471.47
lunar,4471.04
field,4468.68
royal,4467.72
biddy,4467.47
metal,4466.67
hefty,4466.35
choke,4463.69
pecan,4461.93
macro,4459.66
first,4457.14
teach,4455.73
missy,4455.45
waltz,4454.98
start,4453.43
couch,4452.1
hunky,4450.4
titan,4450.19
treat,4449.48
perch,4448.36
annex,4448.02
robin,4447.78
picky,4447.59
hedge,4444.02
slang,4443.76
budge,4443.63
trove,4441.84
toxin,4438.49
chime,4438.18
white,4436.03
midge,4434.77
train,4434.15
realm,4433.8
zesty,4432.51
vomit,4432.46
minor,4432.27
anger,4431.86
elder,4430.79
timid,4427.27
sumac,4426.76
stove,4425.12
plait,4423.45
dread,4422.31
pithy,4420.47
radii,4420.39
smart,4420.38
doubt,4420.37
razor,4418.95
bosom,4418.73
tipsy,4417.82
stain,4417.43
login,4417.01
loyal,4416.94
those,4411.39
flute,4409.89
pedal,4409.83
cigar,4408.75
pouch,4407.67
owner,4404.04
inlet,4403.95
heist,4402.3
slash,4401.56
splat,4400.89
kneel,4400.19
glide,4400.11
revue,4399.65
print,4399.2
algae,4398.85
bloat,4398.71
botch,4398.7
truce,4396.15
rajah,4394.41
naval,4393.96
major,4390.04
viral,4389.98
shank,4389.34
brood,4388.87
tough,4385.09
magma,4383.58
trial,4382.98
aware,4382.39
topaz,4382.08
drive,4381.15
grant,4377.57
fetal,4377.17
asset,4375.25
melon,4374.83
trail,4374.73
guilt,4374.08
twine,4371.97
juice,4371.34
debar,4371.31
flaky,4371.18
match,4369.05
sweat,4368.51
shyly,4367.9
